---,MaxStructure,MaxArmor
ANH-1A,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
ANH-1E,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
ANH-1X,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
ANH-2A,"(Head=1500.000000,CenterTorso=6200.000000,LeftTorso=4200.000000,RightTorso=4200.000000,LeftArm=3400.000000,RightArm=3400.000000,LeftLeg=4200.000000,RightLeg=4200.000000)","(Head=3000.000000,CenterTorso=12400.000000,LeftTorso=8400.000000,RightTorso=8400.000000,LeftArm=6800.000000,RightArm=6800.000000,LeftLeg=8400.000000,RightLeg=8400.000000)"
ARC-2K,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-2P,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-2R,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-2RB,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-2S,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
ARC-2W,"(Head=1500.000000,CenterTorso=4400.000000,LeftTorso=3000.000000,RightTorso=3000.000000,LeftArm=2200.000000,RightArm=2200.000000,LeftLeg=3000.000000,RightLeg=3000.000000)","(Head=3000.000000,CenterTorso=8800.000000,LeftTorso=6000.000000,RightTorso=6000.000000,LeftArm=4400.000000,RightArm=4400.000000,LeftLeg=6000.000000,RightLeg=6000.000000)"
